lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
kk,5,0.128760288685305,0.236329774091946,0.557837348615685,2.06993304506021e-10,4.67541917030286e-32,6.48991660086579e-198,0.0893650918093387,0.198344123640331,0.167753230213363,0.273606555160433
kk,6,0.176230055608462,0.199188284395463,0.471600060052209,1.31559248329905e-20,5.48497414798349e-26,3.24852061720192e-152,0.139759374428329,0.163010754722469,0.212223234086219,0.234830899457855
kk,7,0.157344071101607,0.179350815567018,0.405979771187963,4.26704998151892e-18,4.03851744142972e-23,1.67713989078281e-119,0.122257674494642,0.144503403244714,0.192037681820706,0.213753902889433
kn,3,0.455474536302084,0.48413490200722,0.424147815058179,1.60077269252564e-321,0,1.40432589207039e-274,0.435717226889175,0.465035273365794,0.474793138483394,0.502784055425352
kn,4,0.446438905375381,0.436011348163036,0.61781636514705,6.93162425450563e-223,1.55088394984608e-211,0,0.422924256657591,0.412233743465023,0.469352709620959,0.459195403211303
kn,5,0.3155937381597,0.387211322173366,0.543777902828622,3.97565195466727e-57,1.97221206023406e-87,2.19444377221298e-186,0.279267489289933,0.352816363129306,0.351017911545488,0.420561284723487
kn,6,0.199957696000889,0.273452347812596,0.48060640755967,4.30486331697994e-14,1.97235345171959e-25,8.23578121126168e-82,0.14912951482903,0.22427493253117,0.249731978613246,0.321240604790121
kn,7,0.124964001513427,0.202449610016168,0.312553565540143,5.54875491852148e-05,4.9178076012423e-11,6.87685094635813e-25,0.0645198781261887,0.143281759251624,0.184494549623466,0.260175419320293
ko,3,0.171569256281923,0.300008842556615,0.545840090673759,2.31555197796678e-55,1.18994305139803e-170,0,0.150514232946052,0.280212626547276,0.192468706029354,0.319549989712416
ko,4,0.181572155555108,0.253665574700496,0.628433732446299,2.14464359865727e-31,1.43589055553173e-60,0,0.151639114868847,0.224639012861792,0.211172470979508,0.282242371700602
ko,5,0.199931585766744,0.274687606495073,0.490738181011252,1.38663612117894e-13,1.08028123488273e-24,2.26951080786757e-82,0.148043130405221,0.224514116873601,0.250722342252224,0.323408549131817
ko,6,0.017848156736544,0.0686891479062638,0.367946329666516,0.777553254572495,0.276399378370114,1.57335072320425e-09,-0.105712508698052,-0.0551056416445159,0.140866059098795,0.190404151959863
ko,7,0.0883638500782709,0.28928318561128,0.223431181690689,0.441706188961994,0.010204911108784,0.0492562443817074,-0.13685803782584,0.0713452368390156,0.304899168137142,0.480858933418851
ku,3,0.294410892789619,0.399940916315007,0.622857625735014,5.7270043138715e-21,8.69279066708004e-39,5.98579789791872e-106,0.236020266796804,0.345870111378325,0.350683170011688,0.451364169289548
ku,4,0.282331754033883,0.302081447744939,0.695518218227194,3.10620639770055e-47,3.86302347736778e-54,0,0.245931049990716,0.266109169756448,0.317937229160931,0.337213525246931
ku,5,0.268222859860653,0.283145873167382,0.64768263465154,1.44335679538913e-57,3.24225906007284e-64,0,0.236872159475325,0.252057453734144,0.299015544857629,0.313650448314941
ku,6,0.345980910592431,0.266012587892925,0.550892063020078,4.75247279833877e-110,3.75788835046111e-64,2.08362234364833e-308,0.318044688668607,0.236597901066662,0.373316851638261,0.294940104282977
ku,7,0.351200011302447,0.251511749095806,0.438891291558572,1.14063300172882e-89,1.95931719386356e-45,1.58940417594259e-144,0.319771169651359,0.218048472490947,0.381856865908997,0.284384320899948
ky,3,0.280828691100074,0.392422729263067,0.653616936054272,1.83203012065494e-13,8.46608204282765e-26,6.5016003436136e-82,0.209102025614461,0.325968873057069,0.349549840033567,0.455017622446695
ky,4,0.159114208986891,0.283326531897999,0.552564049845704,5.1578308908618e-08,7.76501534870006e-23,1.25000160478128e-93,0.102470831648871,0.229488305185753,0.214729059482637,0.335436262847813
ky,5,0.15859828979446,0.296243840925406,0.572003515812294,1.37594885112887e-14,2.14610417019406e-48,1.64078136176892e-202,0.118746560017043,0.258740455542975,0.19793987733772,0.332855442442617
